Experiment,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Cycle_Time_s,Total_Process_Time_s,Relative_Throughput_cycles_per_hour,Thickness_Uniformity_1sigma_%,Film_Stress_MPa,Film_Density_g_cm3,Surface_Roughness_nm_RMS,Defect_Density_per_cm2,Film_Quality_Score
1,160,0.6,0.5,0.5,2.5,0.0228541224490695,2.285412244906957,6.0,600.0,600.0,3.3999999999999995,-10.0,2.825,0.44,56.0,0.18604651162790697
2,160,0.6,0.5,0.5,5.0,0.0268872028812583,2.688720288125832,11.0,1100.0,327.27272727272725,2.5999999999999996,-10.0,2.825,0.36,36.0,0.3948700410396717
3,160,0.6,0.5,0.5,10.0,0.0268872028812583,2.688720288125832,21.0,2100.0,171.42857142857142,2.5999999999999996,-10.0,2.825,0.36,36.0,0.3948700410396717
4,160,0.6,0.5,1.0,2.5,0.036715848415257,3.671584841525704,6.5,650.0,553.8461538461538,3.25,-2.5,2.8375,0.42500000000000004,53.0,0.2512342436974786
5,160,0.6,0.5,1.0,5.0,0.0431951157826553,4.3195115782655344,11.5,1150.0,313.0434782608696,2.4499999999999997,-2.5,2.8375,0.34500000000000003,33.0,0.4600577731092434
6,160,0.6,0.5,1.0,10.0,0.0431951157826553,4.3195115782655344,21.5,2150.0,167.4418604651163,2.4499999999999997,-2.5,2.8375,0.34500000000000003,33.0,0.4600577731092434
7,160,0.6,0.5,1.5,2.5,0.0385516408360199,3.8551640836019896,7.0,700.0,514.2857142857143,3.3999999999999995,5.0,2.825,0.44,56.0,0.19534883720930232
8,160,0.6,0.5,1.5,5.0,0.0453548715717881,4.535487157178811,12.0,1200.0,300.0,2.5999999999999996,5.0,2.825,0.36,36.0,0.4041723666210671
9,160,0.6,0.5,1.5,10.0,0.0453548715717881,4.535487157178811,22.0,2200.0,163.63636363636363,2.5999999999999996,5.0,2.825,0.36,36.0,0.4041723666210671
10,160,0.6,1.0,0.5,2.5,0.036715848415257,3.671584841525704,6.5,650.0,553.8461538461538,3.25,-2.5,2.8375,0.42500000000000004,53.0,0.2512342436974786
11,160,0.6,1.0,0.5,5.0,0.0431951157826553,4.3195115782655344,11.5,1150.0,313.0434782608696,2.4499999999999997,-2.5,2.8375,0.34500000000000003,33.0,0.4600577731092434
12,160,0.6,1.0,0.5,10.0,0.0431951157826553,4.3195115782655344,21.5,2150.0,167.4418604651163,2.4499999999999997,-2.5,2.8375,0.34500000000000003,33.0,0.4600577731092434
13,160,0.6,1.0,1.0,2.5,0.0589851361764719,5.898513617647193,7.0,700.0,514.2857142857143,3.0999999999999996,5.0,2.85,0.41000000000000003,50.0,0.2978173246042602
14,160,0.6,1.0,1.0,5.0,0.0693942778546728,6.939427785467286,12.0,1200.0,300.0,2.3,5.0,2.85,0.33,30.0,0.5066408540160249
15,160,0.6,1.0,1.0,10.0,0.0693942778546728,6.939427785467286,22.0,2200.0,163.63636363636363,2.3,5.0,2.85,0.33,30.0,0.5066408540160249
16,160,0.6,1.0,1.5,2.5,0.0619343929852955,6.193439298529554,7.5,750.0,480.0,3.25,12.5,2.8375,0.42500000000000004,53.0,0.2326295925346879
17,160,0.6,1.0,1.5,5.0,0.0728639917474065,7.286399174740652,12.5,1250.0,288.0,2.4499999999999997,12.5,2.8375,0.34500000000000003,33.0,0.4414531219464527
18,160,0.6,1.0,1.5,10.0,0.0728639917474065,7.286399174740652,22.5,2250.0,160.0,2.4499999999999997,12.5,2.8375,0.34500000000000003,33.0,0.4414531219464527
19,160,0.6,1.5,0.5,2.5,0.0385516408360199,3.8551640836019896,7.0,700.0,514.2857142857143,3.3999999999999995,5.0,2.825,0.44,56.0,0.19534883720930232
20,160,0.6,1.5,0.5,5.0,0.0453548715717881,4.535487157178811,12.0,1200.0,300.0,2.5999999999999996,5.0,2.825,0.36,36.0,0.4041723666210671
21,160,0.6,1.5,0.5,10.0,0.0453548715717881,4.535487157178811,22.0,2200.0,163.63636363636363,2.5999999999999996,5.0,2.825,0.36,36.0,0.4041723666210671
22,160,0.6,1.5,1.0,2.5,0.0619343929852955,6.193439298529554,7.5,750.0,480.0,3.25,12.5,2.8375,0.42500000000000004,53.0,0.2326295925346879
23,160,0.6,1.5,1.0,5.0,0.0728639917474065,7.286399174740652,12.5,1250.0,288.0,2.4499999999999997,12.5,2.8375,0.34500000000000003,33.0,0.4414531219464527
24,160,0.6,1.5,1.0,10.0,0.0728639917474065,7.286399174740652,22.5,2250.0,160.0,2.4499999999999997,12.5,2.8375,0.34500000000000003,33.0,0.4414531219464527
25,160,0.6,1.5,1.5,2.5,0.0650311126345603,6.503111263456033,8.0,800.0,450.0,3.3999999999999995,20.0,2.825,0.44,56.0,0.1674418604651163
26,160,0.6,1.5,1.5,5.0,0.0765071913347768,7.650719133477684,13.0,1300.0,276.9230769230769,2.5999999999999996,20.0,2.825,0.36,36.0,0.3762653898768811
27,160,0.6,1.5,1.5,10.0,0.0765071913347768,7.650719133477684,23.0,2300.0,156.52173913043478,2.5999999999999996,20.0,2.825,0.36,36.0,0.3762653898768811
28,160,1.0,0.5,0.5,2.5,0.0263469820920176,2.634698209201769,6.0,600.0,600.0,2.9000000000000004,10.0,2.875,0.39000000000000007,46.0,0.3663511334766462
29,160,1.0,0.5,0.5,5.0,0.0309964495200208,3.099644952002081,11.0,1100.0,327.27272727272725,2.1,10.0,2.875,0.31000000000000005,26.0,0.575174662888411
30,160,1.0,0.5,0.5,10.0,0.0309964495200208,3.099644952002081,21.0,2100.0,171.42857142857142,2.1,10.0,2.875,0.31000000000000005,26.0,0.575174662888411
31,160,1.0,0.5,1.0,2.5,0.0423272345217261,4.232723452172611,6.5,650.0,553.8461538461538,2.75,17.5,2.8874999999999997,0.37500000000000006,43.0,0.40363188880203194
32,160,1.0,0.5,1.0,5.0,0.0497967464961483,4.979674649614837,11.5,1150.0,313.0434782608696,1.95,17.5,2.8874999999999997,0.29500000000000004,23.0,0.6124554182137967
