Experiment,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Cycle_Time_s,Total_Process_Time_s,Relative_Throughput_cycles_per_hour
1,160,0.6,0.5,0.5,2.5,0.02285412244906957,2.285412244906957,6.0,600.0,600.0
2,160,0.6,0.5,0.5,5.0,0.02688720288125832,2.688720288125832,11.0,1100.0,327.27272727272725
3,160,0.6,0.5,0.5,10.0,0.02688720288125832,2.688720288125832,21.0,2100.0,171.42857142857142
4,160,0.6,0.5,1.0,2.5,0.03671584841525704,3.671584841525704,6.5,650.0,553.8461538461538
5,160,0.6,0.5,1.0,5.0,0.04319511578265534,4.3195115782655344,11.5,1150.0,313.04347826086956
6,160,0.6,0.5,1.0,10.0,0.04319511578265534,4.3195115782655344,21.5,2150.0,167.4418604651163
7,160,0.6,0.5,1.5,2.5,0.0385516408360199,3.8551640836019896,7.0,700.0,514.2857142857143
8,160,0.6,0.5,1.5,5.0,0.045354871571788115,4.535487157178811,12.0,1200.0,300.0
9,160,0.6,0.5,1.5,10.0,0.045354871571788115,4.535487157178811,22.0,2200.0,163.63636363636363
10,160,0.6,1.0,0.5,2.5,0.03671584841525704,3.671584841525704,6.5,650.0,553.8461538461538
11,160,0.6,1.0,0.5,5.0,0.04319511578265534,4.3195115782655344,11.5,1150.0,313.04347826086956
12,160,0.6,1.0,0.5,10.0,0.04319511578265534,4.3195115782655344,21.5,2150.0,167.4418604651163
13,160,0.6,1.0,1.0,2.5,0.058985136176471935,5.898513617647193,7.0,700.0,514.2857142857143
14,160,0.6,1.0,1.0,5.0,0.06939427785467286,6.939427785467286,12.0,1200.0,300.0
15,160,0.6,1.0,1.0,10.0,0.06939427785467286,6.939427785467286,22.0,2200.0,163.63636363636363
16,160,0.6,1.0,1.5,2.5,0.06193439298529554,6.193439298529554,7.5,750.0,480.0
17,160,0.6,1.0,1.5,5.0,0.07286399174740651,7.286399174740652,12.5,1250.0,288.0
18,160,0.6,1.0,1.5,10.0,0.07286399174740651,7.286399174740652,22.5,2250.0,160.0
19,160,0.6,1.5,0.5,2.5,0.0385516408360199,3.8551640836019896,7.0,700.0,514.2857142857143
20,160,0.6,1.5,0.5,5.0,0.045354871571788115,4.535487157178811,12.0,1200.0,300.0
21,160,0.6,1.5,0.5,10.0,0.045354871571788115,4.535487157178811,22.0,2200.0,163.63636363636363
22,160,0.6,1.5,1.0,2.5,0.06193439298529554,6.193439298529554,7.5,750.0,480.0
23,160,0.6,1.5,1.0,5.0,0.07286399174740651,7.286399174740652,12.5,1250.0,288.0
24,160,0.6,1.5,1.0,10.0,0.07286399174740651,7.286399174740652,22.5,2250.0,160.0
25,160,0.6,1.5,1.5,2.5,0.06503111263456032,6.503111263456033,8.0,800.0,450.0
26,160,0.6,1.5,1.5,5.0,0.07650719133477685,7.6507191334776845,13.0,1300.0,276.9230769230769
27,160,0.6,1.5,1.5,10.0,0.07650719133477685,7.6507191334776845,23.0,2300.0,156.52173913043478
28,160,1.0,0.5,0.5,2.5,0.026346982092017687,2.6346982092017686,6.0,600.0,600.0
29,160,1.0,0.5,0.5,5.0,0.03099644952002081,3.099644952002081,11.0,1100.0,327.27272727272725
30,160,1.0,0.5,0.5,10.0,0.03099644952002081,3.099644952002081,21.0,2100.0,171.42857142857142
31,160,1.0,0.5,1.0,2.5,0.04232723452172611,4.232723452172611,6.5,650.0,553.8461538461538
32,160,1.0,0.5,1.0,5.0,0.04979674649614837,4.979674649614837,11.5,1150.0,313.04347826086956
33,160,1.0,0.5,1.0,10.0,0.04979674649614837,4.979674649614837,21.5,2150.0,167.4418604651163
34,160,1.0,0.5,1.5,2.5,0.04444359624781242,4.444359624781242,7.0,700.0,514.2857142857143
35,160,1.0,0.5,1.5,5.0,0.05228658382095579,5.2286583820955785,12.0,1200.0,300.0
36,160,1.0,0.5,1.5,10.0,0.05228658382095579,5.2286583820955785,22.0,2200.0,163.63636363636363
37,160,1.0,1.0,0.5,2.5,0.04232723452172611,4.232723452172611,6.5,650.0,553.8461538461538
38,160,1.0,1.0,0.5,5.0,0.04979674649614837,4.979674649614837,11.5,1150.0,313.04347826086956
39,160,1.0,1.0,0.5,10.0,0.04979674649614837,4.979674649614837,21.5,2150.0,167.4418604651163
40,160,1.0,1.0,1.0,2.5,0.068,6.800000000000001,7.0,700.0,514.2857142857143
41,160,1.0,1.0,1.0,5.0,0.08,8.0,12.0,1200.0,300.0
42,160,1.0,1.0,1.0,10.0,0.08,8.0,22.0,2200.0,163.63636363636363
43,160,1.0,1.0,1.5,2.5,0.0714,7.140000000000001,7.5,750.0,480.0
44,160,1.0,1.0,1.5,5.0,0.084,8.4,12.5,1250.0,288.0
45,160,1.0,1.0,1.5,10.0,0.084,8.4,22.5,2250.0,160.0
46,160,1.0,1.5,0.5,2.5,0.04444359624781242,4.444359624781242,7.0,700.0,514.2857142857143
47,160,1.0,1.5,0.5,5.0,0.05228658382095579,5.2286583820955785,12.0,1200.0,300.0
48,160,1.0,1.5,0.5,10.0,0.05228658382095579,5.2286583820955785,22.0,2200.0,163.63636363636363
49,160,1.0,1.5,1.0,2.5,0.0714,7.140000000000001,7.5,750.0,480.0
50,160,1.0,1.5,1.0,5.0,0.084,8.4,12.5,1250.0,288.0
51,160,1.0,1.5,1.0,10.0,0.084,8.4,22.5,2250.0,160.0
52,160,1.0,1.5,1.5,2.5,0.07497000000000001,7.497000000000001,8.0,800.0,450.0
53,160,1.0,1.5,1.5,5.0,0.08820000000000001,8.820000000000002,13.0,1300.0,276.9230769230769
54,160,1.0,1.5,1.5,10.0,0.08820000000000001,8.820000000000002,23.0,2300.0,156.52173913043478
55,160,1.4,0.5,0.5,2.5,0.022854122449069574,2.2854122449069574,6.0,600.0,600.0
56,160,1.4,0.5,0.5,5.0,0.026887202881258322,2.688720288125832,11.0,1100.0,327.27272727272725
57,160,1.4,0.5,0.5,10.0,0.026887202881258322,2.688720288125832,21.0,2100.0,171.42857142857142
58,160,1.4,0.5,1.0,2.5,0.036715848415257046,3.6715848415257044,6.5,650.0,553.8461538461538
59,160,1.4,0.5,1.0,5.0,0.04319511578265535,4.319511578265535,11.5,1150.0,313.04347826086956
60,160,1.4,0.5,1.0,10.0,0.04319511578265535,4.319511578265535,21.5,2150.0,167.4418604651163
61,160,1.4,0.5,1.5,2.5,0.038551640836019904,3.8551640836019905,7.0,700.0,514.2857142857143
62,160,1.4,0.5,1.5,5.0,0.04535487157178812,4.535487157178812,12.0,1200.0,300.0
63,160,1.4,0.5,1.5,10.0,0.04535487157178812,4.535487157178812,22.0,2200.0,163.63636363636363
64,160,1.4,1.0,0.5,2.5,0.036715848415257046,3.6715848415257044,6.5,650.0,553.8461538461538
65,160,1.4,1.0,0.5,5.0,0.04319511578265535,4.319511578265535,11.5,1150.0,313.04347826086956
66,160,1.4,1.0,0.5,10.0,0.04319511578265535,4.319511578265535,21.5,2150.0,167.4418604651163
67,160,1.4,1.0,1.0,2.5,0.05898513617647194,5.898513617647194,7.0,700.0,514.2857142857143
68,160,1.4,1.0,1.0,5.0,0.06939427785467288,6.939427785467288,12.0,1200.0,300.0
69,160,1.4,1.0,1.0,10.0,0.06939427785467288,6.939427785467288,22.0,2200.0,163.63636363636363
70,160,1.4,1.0,1.5,2.5,0.061934392985295544,6.1934392985295545,7.5,750.0,480.0
71,160,1.4,1.0,1.5,5.0,0.07286399174740653,7.2863991747406525,12.5,1250.0,288.0
72,160,1.4,1.0,1.5,10.0,0.07286399174740653,7.2863991747406525,22.5,2250.0,160.0
73,160,1.4,1.5,0.5,2.5,0.038551640836019904,3.8551640836019905,7.0,700.0,514.2857142857143
74,160,1.4,1.5,0.5,5.0,0.04535487157178812,4.535487157178812,12.0,1200.0,300.0
75,160,1.4,1.5,0.5,10.0,0.04535487157178812,4.535487157178812,22.0,2200.0,163.63636363636363
76,160,1.4,1.5,1.0,2.5,0.061934392985295544,6.1934392985295545,7.5,750.0,480.0
77,160,1.4,1.5,1.0,5.0,0.07286399174740653,7.2863991747406525,12.5,1250.0,288.0
78,160,1.4,1.5,1.0,10.0,0.07286399174740653,7.2863991747406525,22.5,2250.0,160.0
79,160,1.4,1.5,1.5,2.5,0.06503111263456034,6.5031112634560335,8.0,800.0,450.0
80,160,1.4,1.5,1.5,5.0,0.07650719133477686,7.650719133477686,13.0,1300.0,276.9230769230769
81,160,1.4,1.5,1.5,10.0,0.07650719133477686,7.650719133477686,23.0,2300.0,156.52173913043478
82,200,0.6,0.5,0.5,2.5,0.028567653061336958,2.856765306133696,6.0,600.0,600.0
83,200,0.6,0.5,0.5,5.0,0.033609003601572894,3.3609003601572893,11.0,1100.0,327.27272727272725
84,200,0.6,0.5,0.5,10.0,0.033609003601572894,3.3609003601572893,21.0,2100.0,171.42857142857142
85,200,0.6,0.5,1.0,2.5,0.0458948105190713,4.58948105190713,6.5,650.0,553.8461538461538
86,200,0.6,0.5,1.0,5.0,0.053993894728319176,5.399389472831918,11.5,1150.0,313.04347826086956
87,200,0.6,0.5,1.0,10.0,0.053993894728319176,5.399389472831918,21.5,2150.0,167.4418604651163
88,200,0.6,0.5,1.5,2.5,0.04818955104502486,4.8189551045024865,7.0,700.0,514.2857142857143
89,200,0.6,0.5,1.5,5.0,0.056693589464735135,5.669358946473514,12.0,1200.0,300.0
90,200,0.6,0.5,1.5,10.0,0.056693589464735135,5.669358946473514,22.0,2200.0,163.63636363636363
91,200,0.6,1.0,0.5,2.5,0.0458948105190713,4.58948105190713,6.5,650.0,553.8461538461538
92,200,0.6,1.0,0.5,5.0,0.053993894728319176,5.399389472831918,11.5,1150.0,313.04347826086956
93,200,0.6,1.0,0.5,10.0,0.053993894728319176,5.399389472831918,21.5,2150.0,167.4418604651163
94,200,0.6,1.0,1.0,2.5,0.07373142022058993,7.3731420220589925,7.0,700.0,514.2857142857143
95,200,0.6,1.0,1.0,5.0,0.08674284731834109,8.674284731834108,12.0,1200.0,300.0
96,200,0.6,1.0,1.0,10.0,0.08674284731834109,8.674284731834108,22.0,2200.0,163.63636363636363
97,200,0.6,1.0,1.5,2.5,0.07741799123161942,7.741799123161942,7.5,750.0,480.0
98,200,0.6,1.0,1.5,5.0,0.09107998968425815,9.107998968425814,12.5,1250.0,288.0
99,200,0.6,1.0,1.5,10.0,0.09107998968425815,9.107998968425814,22.5,2250.0,160.0
100,200,0.6,1.5,0.5,2.5,0.04818955104502487,4.818955104502487,7.0,700.0,514.2857142857143
101,200,0.6,1.5,0.5,5.0,0.05669358946473514,5.669358946473515,12.0,1200.0,300.0
102,200,0.6,1.5,0.5,10.0,0.05669358946473514,5.669358946473515,22.0,2200.0,163.63636363636363
103,200,0.6,1.5,1.0,2.5,0.07741799123161942,7.741799123161942,7.5,750.0,480.0
104,200,0.6,1.5,1.0,5.0,0.09107998968425815,9.107998968425814,12.5,1250.0,288.0
105,200,0.6,1.5,1.0,10.0,0.09107998968425815,9.107998968425814,22.5,2250.0,160.0
106,200,0.6,1.5,1.5,2.5,0.0812888907932004,8.12888907932004,8.0,800.0,450.0
107,200,0.6,1.5,1.5,5.0,0.09563398916847106,9.563398916847106,13.0,1300.0,276.9230769230769
108,200,0.6,1.5,1.5,10.0,0.09563398916847106,9.563398916847106,23.0,2300.0,156.52173913043478
109,200,1.0,0.5,0.5,2.5,0.032933727615022106,3.2933727615022104,6.0,600.0,600.0
110,200,1.0,0.5,0.5,5.0,0.03874556190002601,3.874556190002601,11.0,1100.0,327.27272727272725
111,200,1.0,0.5,0.5,10.0,0.03874556190002601,3.874556190002601,21.0,2100.0,171.42857142857142
112,200,1.0,0.5,1.0,2.5,0.052909043152157643,5.290904315215764,6.5,650.0,553.8461538461538
113,200,1.0,0.5,1.0,5.0,0.06224593312018546,6.224593312018547,11.5,1150.0,313.04347826086956
114,200,1.0,0.5,1.0,10.0,0.06224593312018546,6.224593312018547,21.5,2150.0,167.4418604651163
