Metric,Before_Correction,After_Correction
Thickness Mean (nm),10.016996372567863,10.00764836765554
Thickness Std (nm),0.07351153769018433,0.03308019196058293
GPC Mean (nm/cycle),0.10037557580551706,0.10016900911248267
GPC Std (nm/cycle),0.0017830210128371225,0.0008023594557767051
Uniformity Mean (%),1.0226659874790676,1.011332993739534
Stress Mean (MPa),50.20172581364804,50.12103548818883
Density Mean (g/cm3),3.000827580291659,3.0004137901458297
Roughness Mean (nm),0.20016582209490957,0.20008291104745482
Defect Density Mean,4.982713603417403,4.991356801708702
Yield (%),99.8,100.0
