Lot,Total_Measurements,Good_Measurements,Defective_Measurements,Yield_%
1,50,50,0,100.0
2,50,50,0,100.0
3,50,50,0,100.0
4,50,50,0,100.0
5,50,50,0,100.0
6,50,50,0,100.0
7,50,50,0,100.0
8,50,50,0,100.0
9,50,50,0,100.0
10,50,50,0,100.0
11,50,50,0,100.0
12,50,50,0,100.0
13,50,50,0,100.0
14,50,50,0,100.0
15,50,50,0,100.0
16,50,50,0,100.0
17,50,47,3,94.0
18,50,50,0,100.0
19,50,50,0,100.0
20,50,50,0,100.0
21,50,50,0,100.0
22,50,50,0,100.0
23,50,50,0,100.0
24,50,50,0,100.0
25,50,50,0,100.0
26,50,50,0,100.0
27,50,50,0,100.0
28,50,50,0,100.0
29,50,50,0,100.0
30,50,50,0,100.0
