Experiment,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Cycle_Time_s,Total_Process_Time_s,Relative_Throughput_cycles_per_hour,Thickness_Uniformity_1sigma_%,Film_Stress_MPa,Film_Density_g_cm3,Surface_Roughness_nm_RMS,Defect_Density_per_cm2,Film_Quality_Score,Thickness_Error_%,Thickness_OK,Uniformity_OK,Stress_OK,Density_OK,Roughness_OK,Defectivity_OK,Throughput_OK,Process_Qualified,Score_Thickness,Score_Uniformity,Score_Stress,Score_Density,Score_Roughness,Score_Defectivity,Score_Throughput,Optimization_Score
1,160,0.6,0.5,0.5,2.5,0.0228541224490695,2.285412244906957,6.0,600.0,600.0,3.3999999999999995,-10.0,2.825,0.44,56.0,0.1860465116279069,77.14587755093044,False,False,True,False,False,False,True,False,0.0,0.0,0.9302325581395349,0.0,0.0,0.0,1.0,0.1930232558139535
2,160,0.6,0.5,0.5,5.0,0.0268872028812583,2.688720288125832,11.0,1100.0,327.27272727272725,2.6,-10.0,2.825,0.36,36.0,0.3948700410396717,73.11279711874168,False,False,True,False,False,False,True,False,0.05227862538119654,0.33333333333333315,0.9302325581395349,0.0,0.3333333333333334,0.39215686274509803,0.38502673796791437,0.28381127223055386
3,160,0.6,0.5,0.5,10.0,0.0268872028812583,2.688720288125832,21.0,2100.0,171.42857142857142,2.6,-10.0,2.825,0.36,36.0,0.3948700410396717,73.11279711874168,False,False,True,False,False,False,True,False,0.05227862538119654,0.33333333333333315,0.9302325581395349,0.0,0.3333333333333334,0.39215686274509803,0.03361344537815123,0.24866994297157752
4,160,0.6,0.5,1.0,2.5,0.036715848415257,3.671584841525704,6.5,650.0,553.8461538461538,3.25,-2.5,2.8375,0.425,53.0,0.2512342436974786,63.284151584742965,False,False,True,False,False,False,True,False,0.17968200513418475,0.06249999999999979,1.0,0.07142857142856998,0.06250000000000006,0.058823529411764705,0.8959276018099547,0.2698599001200036
5,160,0.6,0.5,1.0,5.0,0.0431951157826553,4.3195115782655344,11.5,1150.0,313.0434782608696,2.45,-2.5,2.8375,0.345,33.0,0.4600577731092434,56.80488421734465,False,False,True,False,False,False,True,False,0.263669219656708,0.39583333333333315,1.0,0.07142857142856998,0.3958333333333335,0.45098039215686275,0.3529411764705883,0.3757737474912076
6,160,0.6,0.5,1.0,10.0,0.0431951157826553,4.3195115782655344,21.5,2150.0,167.4418604651163,2.45,-2.5,2.8375,0.345,33.0,0.4600577731092434,56.80488421734465,False,False,True,False,False,False,True,False,0.263669219656708,0.39583333333333315,1.0,0.07142857142856998,0.3958333333333335,0.45098039215686275,0.024623803009575954,0.3429420101451064
7,160,0.6,0.5,1.5,2.5,0.0385516408360199,3.8551640836019896,7.0,700.0,514.2857142857143,3.3999999999999995,5.0,2.825,0.44,56.0,0.1953488372093023,61.4483591639801,False,False,True,False,False,False,True,False,0.20347838258223305,0.0,0.9767441860465116,0.0,0.0,0.0,0.8067226890756304,0.22921628315777245
8,160,0.6,0.5,1.5,5.0,0.0453548715717881,4.535487157178811,12.0,1200.0,300.0,2.6,5.0,2.825,0.36,36.0,0.4041723666210671,54.64512842821188,False,False,True,False,False,False,True,False,0.2916649578308824,0.33333333333333315,0.9767441860465116,0.0,0.3333333333333334,0.39215686274509803,0.32352941176470584,0.34215928551335206
9,160,0.6,0.5,1.5,10.0,0.0453548715717881,4.535487157178811,22.0,2200.0,163.63636363636363,2.6,5.0,2.825,0.36,36.0,0.4041723666210671,54.64512842821188,False,False,True,False,False,False,True,False,0.2916649578308824,0.33333333333333315,0.9767441860465116,0.0,0.3333333333333334,0.39215686274509803,0.01604278074866308,0.3114106224117478
10,160,0.6,1.0,0.5,2.5,0.036715848415257,3.671584841525704,6.5,650.0,553.8461538461538,3.25,-2.5,2.8375,0.425,53.0,0.2512342436974786,63.284151584742965,False,False,True,False,False,False,True,False,0.17968200513418475,0.06249999999999979,1.0,0.07142857142856998,0.06250000000000006,0.058823529411764705,0.8959276018099547,0.2698599001200036
