Lot,Mean_Thickness_nm,Std_Thickness_nm,Mean_GPC_nm_per_cycle,Mean_Uniformity_percent,Mean_Stress_MPa,Mean_Density_g_cm3,Mean_Roughness_nm,Mean_Defects_per_cm2,Mean_Throughput,Accepted_Measurements,Total_Measurements,Lot_Acceptance_%
1,10.009549912287737,0.028105663466678688,0.09844399795997492,0.9762053682091251,49.44421378326561,2.9863822854130615,0.20885701936484055,5.406873204026762,309.40705212803925,50,50,100.0
2,9.889268433716493,0.03074943994615273,0.09790364074177103,1.1260241564991167,55.499138840676586,2.998637620035169,0.19560467328224218,5.746704504683342,298.35619228966425,50,50,100.0
3,10.005060223751332,0.02965253615232108,0.10062328653632303,1.1068822098425581,52.360475433658806,3.0130772716617877,0.2060472687089356,6.191715661073991,299.5762577546976,50,50,100.0
4,10.015744502456633,0.036061720930288116,0.10063543761671659,1.1494471508779482,49.31241945266035,2.994710274681079,0.1916624503922152,4.4402650583851875,297.58090723064396,50,50,100.0
5,10.030693385624634,0.028448400971990043,0.0997569073014709,1.0067536267348176,52.15724945136001,3.012544241328858,0.18465333478309684,3.905096103197422,297.09492941471177,50,50,100.0
6,10.115405987032313,0.02790166259921835,0.10213826055957893,1.049634621178948,54.500971469380374,2.973629365890044,0.19716688511395966,4.546401910177574,295.16707586111346,50,50,100.0
7,10.075875492769958,0.02429331269445353,0.10066150046469877,1.118945908875804,52.77914466029392,3.0087388503393306,0.20715286095064334,5.320588432849897,292.10369065187433,50,50,100.0
8,10.108396607036013,0.03714853216351465,0.09989891699293876,0.8198317888457751,43.56790032662493,3.0140611518072062,0.20039828704277812,5.127822471668934,297.814920931564,50,50,100.0
9,9.925634761779543,0.03212072457860152,0.09854402722363781,1.0241344861429138,53.11506643616258,2.998819437905253,0.1853781908349797,4.3912801848666545,294.4849910553885,50,50,100.0
10,9.885352496916324,0.03239340984108775,0.10064062927470659,0.9964272359345298,49.504332353454274,3.018109471827091,0.199395691781441,4.721217416619417,312.9711565783793,50,50,100.0
11,10.057814130867966,0.02989109717868715,0.10096761512586211,1.1191623301165072,46.93939633947814,2.996929142675271,0.2066341460888811,5.000584999749008,303.7445163114631,50,50,100.0
12,10.0954483584238,0.03226469690219302,0.09837638153231072,1.044108372163013,45.99815127106269,3.0284109348858386,0.20732186299261746,4.962840337214255,300.57787635853634,50,50,100.0
13,10.067707991125282,0.027784972450541078,0.10088166635354556,0.9273373552458544,47.140584973451766,2.998953574262197,0.20133442897380519,4.061564666450007,290.4787889251107,50,50,100.0
14,9.981925999872335,0.04385736060308462,0.09919648656970369,1.137276694316375,49.20005351971876,2.9638863759874643,0.20406600446712347,4.6622846059290515,305.64284517040545,50,50,100.0
15,10.022890862310813,0.028860872821096367,0.09700666536794195,0.9784148709665711,43.58175157021711,3.013481154044973,0.21348623287241253,5.745998690940568,302.8655027317772,50,50,100.0
16,9.923249817287466,0.03122396453041661,0.09906423356761984,0.997667189873745,57.07984238506901,3.023510960674086,0.19189126783647567,5.249346066192212,299.65418990923393,50,50,100.0
17,9.92033762939395,0.028349957374387107,0.10316210727565193,1.0747119445470394,47.71220860052594,3.003071137353341,0.18891300919128753,4.704543494012316,291.5047381658205,50,50,100.0
18,9.92168130160349,0.023299447667755525,0.10081825164509164,0.9503946828089919,52.40662666810621,3.017040693247814,0.19844693926361082,5.144848983350166,290.02485652873906,50,50,100.0
19,9.960248611742204,0.042430183697133195,0.10100024674461033,1.1034749556630559,47.82040135067594,3.0152380547792603,0.18536755819800754,5.474782728282641,291.9415888157528,50,50,100.0
20,10.03783222412728,0.029810919083164633,0.09810128080839353,1.174788993747372,54.058272858985426,2.9712482824072297,0.21453176015683995,5.47344354455994,307.23717985424815,50,50,100.0
21,10.107610164020297,0.03950803770936324,0.09784573128148492,0.9806603043778059,54.37009635303209,2.9996651566285677,0.21378590415666973,5.086163750670068,301.6556948779363,50,50,100.0
22,10.016542392419936,0.037450337881745274,0.10038587011683665,0.8958556755032585,47.368978969793524,3.029681754379939,0.19650466507436978,4.497092216460307,296.00212572888796,50,50,100.0
23,10.036584812967364,0.02384905762646386,0.10174245371531881,1.0161202713294293,51.92209675364191,3.0257661209110474,0.20131894765155436,5.122370858240191,304.1909604574885,50,50,100.0
24,10.03753717564687,0.038016206951192504,0.10144114005251721,0.9326435248662235,53.54308371888517,2.9853327172013695,0.2031521289966507,4.207355263168081,294.5615905189226,50,50,100.0
25,10.07228764147442,0.04021309442343648,0.10241998650415068,0.8266667953300455,45.36437387711121,2.9985375892076136,0.1946856828397957,4.436011191303263,306.62905032773693,50,50,100.0
26,10.037595032005612,0.040697234510634755,0.10236248436981982,1.0493715220852595,52.09111422938374,2.9805183165921854,0.20564322435199142,4.518298128675878,291.46832854490015,50,50,100.0
27,10.066756783420583,0.04055470704201712,0.10130893607263194,0.9942591231430152,48.59545401758734,2.997804816748948,0.1981925996872803,5.058543174850376,304.10821928238556,50,50,100.0
28,9.966706464174115,0.029288712884454445,0.10138979782577806,1.0765464343010835,51.05620681545903,2.9803474050377656,0.18513393692143743,5.674466952385224,299.26343584579615,50,50,100.0
29,10.09337027856032,0.038201303656399545,0.10292758955367542,0.9895507799964899,50.276029427590274,2.987343886848626,0.2070626233140919,4.807040978504709,305.2163629268262,50,50,100.0
30,10.024781702220807,0.02487202381312142,0.10162174501075087,1.0366812508493561,47.286138502128715,2.989349363987342,0.21118507755725385,5.795862524034655,305.50173582989504,50,50,100.0
