Qualification_Measurement,Lot,Wafer,Measurement,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Thickness_Uniformity_1sigma_%,Film_Stress_MPa,Film_Density_g_cm3,Surface_Roughness_nm_RMS,Defect_Density_per_cm2,Cycle_Time_s,Throughput_cycles_per_hour,Thickness_Deviation_%,Thickness_OK,GPC_OK,Uniformity_OK,Stress_OK,Density_OK,Roughness_OK,Defectivity_OK,Qualification_OK
1,1,1,1,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10015102011977575,9.965105186698452,0.9853606958067624,47.99214615628423,3.00289750808228,0.20008650481201076,4.794629815307218,12.114114463684288,297.1740122476212,-0.3489481330154831,True,True,True,True,True,True,True,True
2,1,1,2,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10079539761272215,10.071573538108456,0.9716488760644807,48.20269904046439,2.9970040330401164,0.20312055386433428,4.989935741956236,12.114114463684288,297.1740122476212,0.7157353810845635,True,True,True,True,True,True,True,True
3,1,1,3,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.09987836648048125,9.978802720737189,1.0308984289336884,47.41468300340184,2.9996058343525065,0.19759971286544822,5.03930669414785,12.114114463684288,297.1740122476212,-0.21197279262811008,True,True,True,True,True,True,True,True
4,1,1,4,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10014808638376575,9.999735326895289,0.992181566722069,48.27272467383757,3.0024420039520416,0.19788728568827643,5.003453915691176,12.114114463684288,297.1740122476212,-0.002646731047111217,True,True,True,True,True,True,True,True
5,1,1,5,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10019483146923626,10.019229964956644,0.9660675710192618,48.7871709687102,3.000120790461,0.20091452446942235,5.232419574420574,12.114114463684288,297.1740122476212,0.19229964956643641,True,True,True,True,True,True,True,True
6,1,2,1,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10008895342727053,10.013544991303275,0.9689498518878052,47.47599907566033,3.0014972069821364,0.1950952233122055,4.649693218603431,12.114114463684288,297.1740122476212,0.13544991303275467,True,True,True,True,True,True,True,True
7,1,2,2,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10044671549414104,9.962858437968084,0.9753975163898306,48.337675250486825,3.0003878812313065,0.19978292601769215,5.088761000403761,12.114114463684288,297.1740122476212,-0.3714156203191621,True,True,True,True,True,True,True,True
8,1,2,3,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10048222851707506,10.037110016633434,0.9714125144385383,47.76775164395894,3.000838561047163,0.19651474726495297,5.078894646149697,12.114114463684288,297.1740122476212,0.37110016633434384,True,True,True,True,True,True,True,True
9,1,2,4,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10016812589959231,10.028078609814257,0.9650224996621551,47.418364244397935,3.0026829399881136,0.19911792720989127,4.99235445251172,12.114114463684288,297.1740122476212,0.28078609814256694,True,True,True,True,True,True,True,True
10,1,2,5,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10034898910308786,10.052203517326689,0.958557036893707,47.77797723735998,3.002076152489984,0.19934142202755592,4.964731204967439,12.114114463684288,297.1740122476212,0.522035173266886,True,True,True,True,True,True,True,True
11,1,3,1,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10048387349908455,10.07632788849125,0.9279978198561043,48.73098203260457,3.0048392376645885,0.19578081783066956,5.342013163983243,12.114114463684288,297.1740122476212,0.763278884912495,True,True,True,True,True,True,True,True
12,1,3,2,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10036341548423315,10.049626828621845,1.00540909668674,47.10787562802805,3.000249095822916,0.19712787058010958,5.008455820887462,12.114114463684288,297.1740122476212,0.49626828621844865,True,True,True,True,True,True,True,True
13,1,3,3,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.1004028094181331,10.058021283779613,1.0052613935210957,46.98833392448732,3.0000358742465254,0.19905482734137503,4.978177505917126,12.114114463684288,297.1740122476212,0.5802128377961324,True,True,True,True,True,True,True,True
14,1,3,4,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10028588496217873,9.994528809359373,0.9795309053830602,48.131687294482795,3.0018881076465207,0.20625368765306612,4.803892809280827,12.114114463684288,297.1740122476212,-0.05471190640626844,True,True,True,True,True,True,True,True
15,1,3,5,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10055911719682015,10.04151009126171,0.9412951951984976,46.670339660117335,3.0045209490704194,0.1962766080623543,4.909127764645203,12.114114463684288,297.1740122476212,0.415100912617099,True,True,True,True,True,True,True,True
16,1,4,1,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10020266103415292,10.031032606305216,0.9921643815783479,47.893128922490455,3.00503222160082,0.2022671715707568,4.923742252937329,12.114114463684288,297.1740122476212,0.3103260630521554,True,True,True,True,True,True,True,True
17,1,4,2,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.1003967524060037,10.06328147264648,0.9827448195817318,47.75131236114452,3.0057344943682396,0.19761906717544167,4.961178896301902,12.114114463684288,297.1740122476212,0.632814726464801,True,True,True,True,True,True,True,True
18,1,4,3,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10041434815962755,10.039479059273527,0.939866558866495,48.5514359109368,3.0027145699466695,0.20131339783332677,5.175831809027304,12.114114463684288,297.1740122476212,0.39479059273526573,True,True,True,True,True,True,True,True
19,1,4,4,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10002799482699258,10.019661337327987,0.9536521559365706,47.91347162314592,3.0039510056730627,0.19633968621616735,4.855261760099237,12.114114463684288,297.1740122476212,0.1966133732798703,True,True,True,True,True,True,True,True
20,1,4,5,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10033691573150728,10.029187315386553,0.9531450380521269,47.97539404771516,3.00240849066919,0.19992550514741708,5.0965442027757835,12.114114463684288,297.1740122476212,0.29187315386552726,True,True,True,True,True,True,True,True
21,1,5,1,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.1001649372237557,10.00666230059465,0.9734551935002886,47.894675651359854,3.003037834970079,0.20278499606651834,5.225648914704014,12.114114463684288,297.1740122476212,0.06662300594650006,True,True,True,True,True,True,True,True
22,1,5,2,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.09992505053377426,9.996597676328935,0.9599326797563191,46.919427521605805,2.999502139513146,0.19185536128938846,4.952513652667528,12.114114463684288,297.1740122476212,-0.03402323671064522,True,True,True,True,True,True,True,True
23,1,5,3,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10020981011676361,10.028269674213739,0.9570152679850469,48.2536323690998,3.0047916513806214,0.19617617626397033,4.906779007216346,12.114114463684288,297.1740122476212,0.2826967421373894,True,True,True,True,True,True,True,True
24,1,5,4,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10064012615093222,10.043966833759654,1.006008503221887,49.2765380948871,3.001864379345988,0.19854281705109858,5.048029222597112,12.114114463684288,297.1740122476212,0.4396683375965438,True,True,True,True,True,True,True,True
25,1,5,5,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10000459364933673,10.052510991376428,0.910804747878294,47.59887907252455,3.0018171680550343,0.20418802709991082,5.000223670168036,12.114114463684288,297.1740122476212,0.525109913764279,True,True,True,True,True,True,True,True
26,1,6,1,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.09995322187185934,10.009350826723129,0.9712678760716044,48.66554934683073,2.9990463506855973,0.201157713150752,5.147725019020687,12.114114463684288,297.1740122476212,0.09350826723128591,True,True,True,True,True,True,True,True
